src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.5,172.217.23.10,49664,443,17,2026-07-21 03:42:12,5.3144436,113.08803804033221,1.3171651685230041,0.7526658105845737,0.5644993579384303,4,3,292,309,75,71,73.0,2.0,121,68,103.0,24.752104287649296,121,68,85.85714285714286,22.028738187250966,485.265306122449,80,60,20,4,0.8857406,2.7978914,0.0,1.2157430604249018,5.3144436,2.8306272,0.0,1.7714812,1.2606026770859087,5.233961799999999,2.837657,2.3963048,2.6169808999999997,0.22067610000000015,0,0,0,0,0,0,0,0,0,0,0,0.75,85.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,103.0,0,4,3,292,309
192.168.1.8,192.168.1.255,9999,9999,17,2026-07-21 03:42:12,7.5780401,168.64518835153697,0.395880723829899,0.395880723829899,0.0,3,0,1278,0,426,426,426.0,0.0,0,0,0,0.0,426,426,426.0,0.0,0.0,60,0,20,3,3.78902005,7.5780401,0.0,3.78902005,7.5780401,7.5780401,0.0,3.78902005,3.78902005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0,0,3,0,1278,0
192.168.1.5,157.240.238.60,56275,443,6,2026-07-21 03:42:12,0.1091568,4433.988537589962,45.80566671064011,27.483400026384064,18.322266684256043,3,2,302,182,124,54,100.66666666666667,32.99831645537222,126,56,91.0,35.0,126,54,96.8,34.14322773259728,1165.76,60,40,20,2,0.0272892,0.0512155,0.0,0.02300052723667438,0.1091568,0.1091568,0.0,0.0545784,0.0545784,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,96.8,253,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.66666666666667,91.0,0,3,2,302,182
192.168.1.7,224.0.0.7,8001,8001,17,2026-07-21 03:42:13,6.0415323,196.96989785190755,0.8276046128231409,0.8276046128231409,0.0,5,0,1190,0,238,238,238.0,0.0,0,0,0,0.0,238,238,238.0,0.0,0.0,100,0,20,5,1.510383075,2.04852,0.0,0.8730320381356327,6.0415323,2.04852,0.0,1.510383075,0.8730320381356327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.0,0,0,5,0,1190,0
192.168.1.5,172.217.21.197,64445,443,6,2026-07-21 03:42:14,0.0176188,9989.329579767067,170.2726632914841,113.5151088609894,56.7575544304947,2,1,110,66,55,55,55.0,0.0,66,66,66.0,0.0,66,55,58.666666666666664,5.185449728701348,26.88888888888889,40,20,20,2,0.0088094,0.0176188,0.0,0.0088094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,58.666666666666664,4095,3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,66.0,0,2,1,110,66
192.168.1.5,34.95.0.29,54229,443,6,2026-07-21 03:42:14,0.1306757,1346.8456644961534,22.957596553911706,15.30506436927447,7.652532184637235,2,1,110,66,55,55,55.0,0.0,66,66,66.0,0.0,66,55,58.666666666666664,5.185449728701348,26.88888888888889,40,20,20,2,0.06533785,0.1306757,0.0,0.06533785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,58.666666666666664,252,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,66.0,0,2,1,110,66
192.168.1.5,142.251.142.110,62618,443,17,2026-07-21 03:42:15,0.1397314,15193.435405356277,57.252700538318514,28.626350269159257,28.626350269159257,4,4,1214,909,530,75,303.5,226.50441496800894,705,64,227.25,275.84359245775494,705,64,265.375,255.24592920358202,65150.484375,80,80,20,4,0.019961628571428573,0.0482123,0.0,0.018685110161815576,0.0924451,0.0601376,0.0,0.030815033333333335,0.024573743792963707,0.0915191,0.0603087,0.0002877,0.030506366666666663,0.02450523903621881,0,0,0,0,0,0,0,0,0,0,0,1.0,265.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.5,227.25,0,4,4,1214,909
192.168.1.5,172.64.155.209,59534,443,6,2026-07-21 03:42:16,0.1578334,91799.32764547934,164.73065903668044,82.36532951834022,82.36532951834022,13,13,12804,1685,1454,54,984.9230769230769,621.0881841931778,902,56,129.6153846153846,223.52096389774078,1454,54,557.2692307692307,633.043354797485,400743.88905325445,260,260,20,11,0.006313336,0.0405213,0.0,0.01340905555364374,0.11826429999999999,0.0904584,0.0,0.009855358333333333,0.02527988304704811,0.11766570000000001,0.0417601,5e-07,0.009805475,0.01648279145200255,4,4,0,0,0,0,0,8,26,0,0,1.0,557.2692307692307,255,393,0,0,0,0,0,0,0,0,10667.0,9.0,981.0,12.0,36732093.66391184573002754821,12923.94764022680803524377648,984.9230769230769,129.6153846153846,0,13,13,12804,1685
192.168.1.5,142.251.154.119,54047,443,17,2026-07-21 03:42:18,0.0278439,7542.046911531789,107.74352730759699,71.82901820506466,35.91450910253233,2,1,142,68,71,71,71.0,0.0,68,68,68.0,0.0,71,68,70.0,1.4142135623730951,2.0,40,20,20,2,0.01392195,0.0278439,0.0,0.01392195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,68.0,0,2,1,142,68
